title,url,price,location,beds,baths,type,posted,agent,featured
"Commercial Space/Villa Rent in Bhaisepati, Kathmandu",https://nepalpropertybazaar.com/property/commercial-space-villa-rent-in-bhaisepati-kathmandu-127/,"Rs437,000/Month","Bhaisepati, Kathmandu, Bagmati Province, 44785, Nepal",Beds:5,Baths:2,Villa,15 days ago,NPB-Rent,True
"Commercial Space/Villa Rent in Chabahil, Bhaktapur",https://nepalpropertybazaar.com/property/commercial-space-villa-rent-in-chabahil-bhaktapur-674/,"Rs306,500/Month","Chabahil, Bhaktapur, Bagamati Province, 44781, Nepal",Beds:4,Baths:3,Villa,22 days ago,Nepal-Property-Hub,False
"3BHK Flat Rent in Basundhara, Bhaktapur",https://nepalpropertybazaar.com/property/3bhk-flat-rent-in-basundhara-bhaktapur-991/,"Rs59,500/Month","Basundhara, Bhaktapur, Bagamati Province, 44664, Nepal",Beds:3,Baths:3,Flat / Apartment,7 days ago,RealEstate-Nepal,True
"Commercial Space/Villa Rent in Tokha, Lalitpur",https://nepalpropertybazaar.com/property/commercial-space-villa-rent-in-tokha-lalitpur-894/,"Rs404,000/Month","Tokha, Lalitpur, Bagamati Province, 44685, Nepal",Beds:8,Baths:2,Commercial,16 hours ago,Hamro-Ghar,True
"Commercial Space/Villa Rent in Boudha, Bhaktapur",https://nepalpropertybazaar.com/property/commercial-space-villa-rent-in-boudha-bhaktapur-261/,"Rs325,500/Month","Boudha, Bhaktapur, Bagamati Province, 44741, Nepal",Beds:2,Baths:4,Commercial,26 hours ago,NPB-Rent,True
"Commercial Space/Villa Rent in Patan, Lalitpur",https://nepalpropertybazaar.com/property/commercial-space-villa-rent-in-patan-lalitpur-262/,"Rs452,500/Month","Patan, Lalitpur, Bagamati Province, 44663, Nepal",Beds:5,Baths:1,Commercial,30 hours ago,Hamro-Ghar,False
"Commercial Space/Villa Rent in Dhumbarahi, Lalitpur",https://nepalpropertybazaar.com/property/commercial-space-villa-rent-in-dhumbarahi-lalitpur-642/,"Rs179,500/Month","Dhumbarahi, Lalitpur, Bagmati Province, 44661, Nepal",Beds:8,Baths:3,Commercial,22 hours ago,NPB-Rent,False
"3BHK Flat Rent in Mahankal, Bhaktapur",https://nepalpropertybazaar.com/property/3bhk-flat-rent-in-mahankal-bhaktapur-165/,"Rs19,500/Month","Mahankal, Bhaktapur, Bagmati Province, 44795, Nepal",Beds:3,Bath:1,Flat / Apartment,19 hours ago,Hamro-Ghar,True
"Commercial Space/Villa Rent in Baneshwor, Lalitpur",https://nepalpropertybazaar.com/property/commercial-space-villa-rent-in-baneshwor-lalitpur-208/,"Rs367,500/Month","Baneshwor, Lalitpur, Bagamati Province, 44734, Nepal",Beds:6,Baths:1,Commercial,10 hours ago,Hamro-Ghar,True
"2BHK Flat Rent in Chabahil, Bhaktapur",https://nepalpropertybazaar.com/property/2bhk-flat-rent-in-chabahil-bhaktapur-921/,"Rs15,500/Month","Chabahil, Bhaktapur, Bagmati Province, 44663, Nepal",Beds:2,Bath:1,Flat / Apartment,4 hours ago,RealEstate-Nepal,True
"Commercial Space/Villa Rent in Gothatar, Bhaktapur",https://nepalpropertybazaar.com/property/commercial-space-villa-rent-in-gothatar-bhaktapur-822/,"Rs448,000/Month","Gothatar, Bhaktapur, Bagmati Province, 44762, Nepal",Beds:9,Baths:3,Villa,6 days ago,NPB-Rent,False
"8 BHK House Rent in Budhanilkantha, Kathmandu",https://nepalpropertybazaar.com/property/8-bhk-house-rent-in-budhanilkantha-kathmandu-496/,"Rs123,000/Month","Budhanilkantha, Kathmandu, Bagamati Province, 44710, Nepal",Beds:8,Baths:4,House,24 hours ago,RealEstate-Nepal,True
"1BHK Flat Rent in Budhanilkantha, Bhaktapur",https://nepalpropertybazaar.com/property/1bhk-flat-rent-in-budhanilkantha-bhaktapur-217/,"Rs52,000/Month","Budhanilkantha, Bhaktapur, Bagamati Province, 44603, Nepal",Bed:1,Baths:3,Flat / Apartment,1 hours ago,Nepal-Property-Hub,True
"Commercial Space/Villa Rent in Patan, Lalitpur",https://nepalpropertybazaar.com/property/commercial-space-villa-rent-in-patan-lalitpur-686/,"Rs157,000/Month","Patan, Lalitpur, Bagamati Province, 44680, Nepal",Beds:6,Baths:3,Villa,17 days ago,NPB-Rent,True
"Commercial Space/Villa Rent in Dhobighat, Bhaktapur",https://nepalpropertybazaar.com/property/commercial-space-villa-rent-in-dhobighat-bhaktapur-582/,"Rs263,500/Month","Dhobighat, Bhaktapur, Bagamati Province, 44665, Nepal",Beds:6,Baths:4,Villa,13 days ago,Hamro-Ghar,False
"Room Rent in Nayabazar, Kathmandu",https://nepalpropertybazaar.com/property/room-rent-in-nayabazar-kathmandu-342/,"Rs13,500/Month","Nayabazar, Kathmandu, Bagamati Province, 44746, Nepal",Bed:1,Bath:1,Room,24 days ago,NPB-Rent,False
"3 BHK House Rent in Bhaisepati, Kathmandu",https://nepalpropertybazaar.com/property/3-bhk-house-rent-in-bhaisepati-kathmandu-708/,"Rs172,500/Month","Bhaisepati, Kathmandu, Bagmati Province, 44644, Nepal",Beds:3,Baths:4,House,19 days ago,RealEstate-Nepal,True
"Commercial Space/Villa Rent in Koteshwor, Lalitpur",https://nepalpropertybazaar.com/property/commercial-space-villa-rent-in-koteshwor-lalitpur-948/,"Rs114,500/Month","Koteshwor, Lalitpur, Bagmati Province, 44678, Nepal",Beds:9,Baths:4,Villa,25 days ago,NPB-Rent,False
"Commercial Space/Villa Rent in Dhobighat, Lalitpur",https://nepalpropertybazaar.com/property/commercial-space-villa-rent-in-dhobighat-lalitpur-275/,"Rs192,000/Month","Dhobighat, Lalitpur, Bagamati Province, 44753, Nepal",Beds:9,Baths:3,Villa,28 hours ago,NPB-Rent,False
"6 BHK House Rent in Jhamsikhel, Lalitpur",https://nepalpropertybazaar.com/property/6-bhk-house-rent-in-jhamsikhel-lalitpur-267/,"Rs226,500/Month","Jhamsikhel, Lalitpur, Bagamati Province, 44651, Nepal",Beds:6,Baths:5,House,23 days ago,Nepal-Property-Hub,False
"3BHK Flat Rent in Chabahil, Kathmandu",https://nepalpropertybazaar.com/property/3bhk-flat-rent-in-chabahil-kathmandu-336/,"Rs48,000/Month","Chabahil, Kathmandu, Bagamati Province, 44664, Nepal",Beds:3,Bath:1,Flat / Apartment,25 hours ago,RealEstate-Nepal,False
"3 BHK House Rent in Jhamsikhel, Kathmandu",https://nepalpropertybazaar.com/property/3-bhk-house-rent-in-jhamsikhel-kathmandu-160/,"Rs58,000/Month","Jhamsikhel, Kathmandu, Bagmati Province, 44709, Nepal",Beds:3,Baths:5,House,27 hours ago,Hamro-Ghar,False
"Commercial Space/Villa Rent in Jorpati, Kathmandu",https://nepalpropertybazaar.com/property/commercial-space-villa-rent-in-jorpati-kathmandu-852/,"Rs107,000/Month","Jorpati, Kathmandu, Bagamati Province, 44692, Nepal",Beds:3,Baths:3,Villa,18 days ago,Nepal-Property-Hub,True
"6 BHK House Rent in Balkhu, Kathmandu",https://nepalpropertybazaar.com/property/6-bhk-house-rent-in-balkhu-kathmandu-913/,"Rs75,500/Month","Balkhu, Kathmandu, Bagmati Province, 44601, Nepal",Beds:6,Baths:5,House,11 hours ago,RealEstate-Nepal,True
"Room Rent in Nayabazar, Bhaktapur",https://nepalpropertybazaar.com/property/room-rent-in-nayabazar-bhaktapur-660/,"Rs7,000/Month","Nayabazar, Bhaktapur, Bagmati Province, 44781, Nepal",Bed:1,Bath:1,Room,17 hours ago,RealEstate-Nepal,True
"Commercial Space/Villa Rent in Imadol, Bhaktapur",https://nepalpropertybazaar.com/property/commercial-space-villa-rent-in-imadol-bhaktapur-331/,"Rs170,000/Month","Imadol, Bhaktapur, Bagmati Province, 44636, Nepal",Beds:3,Baths:4,Commercial,25 hours ago,Hamro-Ghar,True
"Commercial Space/Villa Rent in Gairidhara, Bhaktapur",https://nepalpropertybazaar.com/property/commercial-space-villa-rent-in-gairidhara-bhaktapur-629/,"Rs130,000/Month","Gairidhara, Bhaktapur, Bagamati Province, 44793, Nepal",Beds:4,Baths:2,Villa,21 hours ago,RealEstate-Nepal,True
"4 BHK House Rent in Sitapaila, Lalitpur",https://nepalpropertybazaar.com/property/4-bhk-house-rent-in-sitapaila-lalitpur-126/,"Rs229,000/Month","Sitapaila, Lalitpur, Bagamati Province, 44622, Nepal",Beds:4,Baths:5,House,30 hours ago,Nepal-Property-Hub,False
"Commercial Space/Villa Rent in Boudha, Bhaktapur",https://nepalpropertybazaar.com/property/commercial-space-villa-rent-in-boudha-bhaktapur-552/,"Rs130,000/Month","Boudha, Bhaktapur, Bagamati Province, 44650, Nepal",Beds:6,Baths:1,Commercial,15 hours ago,NPB-Rent,True
"Room Rent in Baneshwor, Kathmandu",https://nepalpropertybazaar.com/property/room-rent-in-baneshwor-kathmandu-633/,"Rs8,000/Month","Baneshwor, Kathmandu, Bagmati Province, 44757, Nepal",Bed:1,Bath:1,Room,13 hours ago,RealEstate-Nepal,True
"Commercial Space/Villa Rent in Nakhu, Lalitpur",https://nepalpropertybazaar.com/property/commercial-space-villa-rent-in-nakhu-lalitpur-237/,"Rs320,000/Month","Nakhu, Lalitpur, Bagmati Province, 44678, Nepal",Beds:8,Baths:3,Villa,26 days ago,Nepal-Property-Hub,True
"8 BHK House Rent in Mulpani, Kathmandu",https://nepalpropertybazaar.com/property/8-bhk-house-rent-in-mulpani-kathmandu-716/,"Rs64,000/Month","Mulpani, Kathmandu, Bagmati Province, 44674, Nepal",Beds:8,Baths:4,House,29 days ago,NPB-Rent,True
"4 BHK House Rent in Kapan, Kathmandu",https://nepalpropertybazaar.com/property/4-bhk-house-rent-in-kapan-kathmandu-361/,"Rs86,500/Month","Kapan, Kathmandu, Bagmati Province, 44750, Nepal",Beds:4,Baths:2,House,4 days ago,Hamro-Ghar,True
"4BHK Flat Rent in Dhumbarahi, Lalitpur",https://nepalpropertybazaar.com/property/4bhk-flat-rent-in-dhumbarahi-lalitpur-996/,"Rs36,500/Month","Dhumbarahi, Lalitpur, Bagmati Province, 44613, Nepal",Beds:4,Baths:3,Flat / Apartment,30 days ago,NPB-Rent,True
"Room Rent in Kapan, Lalitpur",https://nepalpropertybazaar.com/property/room-rent-in-kapan-lalitpur-706/,"Rs9,500/Month","Kapan, Lalitpur, Bagamati Province, 44767, Nepal",Bed:1,Bath:1,Room,6 hours ago,Hamro-Ghar,True
"Commercial Space/Villa Rent in Balkhu, Bhaktapur",https://nepalpropertybazaar.com/property/commercial-space-villa-rent-in-balkhu-bhaktapur-694/,"Rs450,000/Month","Balkhu, Bhaktapur, Bagmati Province, 44750, Nepal",Beds:4,Baths:3,Villa,24 days ago,RealEstate-Nepal,False
"8 BHK House Rent in Sinamangal, Bhaktapur",https://nepalpropertybazaar.com/property/8-bhk-house-rent-in-sinamangal-bhaktapur-917/,"Rs81,000/Month","Sinamangal, Bhaktapur, Bagmati Province, 44754, Nepal",Beds:8,Baths:3,House,21 hours ago,NPB-Rent,False
"Room Rent in Chunikhel, Lalitpur",https://nepalpropertybazaar.com/property/room-rent-in-chunikhel-lalitpur-577/,"Rs9,000/Month","Chunikhel, Lalitpur, Bagamati Province, 44678, Nepal",Bed:1,Bath:1,Room,20 hours ago,Hamro-Ghar,False
"4BHK Flat Rent in Kapan, Lalitpur",https://nepalpropertybazaar.com/property/4bhk-flat-rent-in-kapan-lalitpur-987/,"Rs32,500/Month","Kapan, Lalitpur, Bagmati Province, 44764, Nepal",Beds:4,Baths:2,Flat / Apartment,15 days ago,RealEstate-Nepal,False
"Room Rent in Imadol, Lalitpur",https://nepalpropertybazaar.com/property/room-rent-in-imadol-lalitpur-369/,"Rs13,000/Month","Imadol, Lalitpur, Bagmati Province, 44713, Nepal",Bed:1,Bath:1,Room,19 hours ago,Hamro-Ghar,False
