title,url,price,location,beds,baths,type,posted,agent,featured,posted_days,district,municipality,bhk_from_title,type_from_title,semi_furnished,fully_furnished,brand_new,private_gate
"2BHK Flat Rent in Basantapur Durbar Square, Makkhan Tol, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-43/,26000,"Basantapur Durbar Square, Makkhan Tol, Yetkha, Kathmandu-24, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, Nepal",2,2,flat,49 days ago,NPB-Rent-Synthetic,False,49,Kathmandu,Makkhan Tol,2,flat,1,0,0,1
"3BHK Flat Rent in Patan, Lalitpur, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-44/,38500,"Patan, Lalitpur-16, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagamati Province, 44707, Nepal",3,1,flat,50 days ago,NPB-Rent-Synthetic,False,50,Lalitpur,Lalitpur,3,flat,0,0,0,0
"1BHK Flat Rent in Satdobato, Tutepani, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-45/,19500,"Satdobato, Tutepani, Lalitpur-15, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagamati Province, 44702, Nepal",1,1,flat,39 days ago,NPB-Rent-Synthetic,True,39,Lalitpur,Tutepani,1,flat,0,0,0,0
"2BHK Flat Rent in Balkot, Balkot-Biruwa Road, Bhaktapur",https://nepalpropertybazaar.com/property/synthetic-46/,25000,"Balkot, Balkot-Biruwa Road, Suryabinayak-02, Sirutar, Suryabinayak Municipality, Bhaktapur, Bagamati Province, 44708, Nepal",2,1,flat,36 days ago,NPB-Rent-Synthetic,False,36,Bhaktapur,Balkot-Biruwa Road,2,flat,0,0,0,0
"1BHK Room Rent in Lubhu, Mahalaxmi, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-47/,8000,"Lubhu, Mahalaxmi-08, Mahalaxmi, Mahalaxmi Municipality, Lalitpur, Bagamati Province, 44708, Nepal",1,1,room,33 days ago,NPB-Rent-Synthetic,False,33,Lalitpur,Mahalaxmi,1,room,0,0,0,0
"2BHK Flat Rent in Basantapur Durbar Square, Makkhan Tol, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-48/,31000,"Basantapur Durbar Square, Makkhan Tol, Yetkha, Kathmandu-24, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, Nepal",2,2,flat,58 days ago,NPB-Rent-Synthetic,True,58,Kathmandu,Makkhan Tol,2,flat,0,0,0,0
"3BHK Flat Rent in Balkot, Balkot-Biruwa Road, Bhaktapur",https://nepalpropertybazaar.com/property/synthetic-49/,42000,"Balkot, Balkot-Biruwa Road, Suryabinayak-02, Sirutar, Suryabinayak Municipality, Bhaktapur, Bagamati Province, 44708, Nepal",3,1,flat,44 days ago,NPB-Rent-Synthetic,True,44,Bhaktapur,Balkot-Biruwa Road,3,flat,0,0,0,1
"1BHK Room Rent in Satdobato, Tutepani, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-50/,6500,"Satdobato, Tutepani, Lalitpur-15, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagamati Province, 44702, Nepal",1,1,room,44 days ago,NPB-Rent-Synthetic,True,44,Lalitpur,Tutepani,1,room,0,0,0,1
"3BHK Flat Rent in Balkot, Balkot-Biruwa Road, Bhaktapur",https://nepalpropertybazaar.com/property/synthetic-51/,49500,"Balkot, Balkot-Biruwa Road, Suryabinayak-02, Sirutar, Suryabinayak Municipality, Bhaktapur, Bagamati Province, 44708, Nepal",3,2,flat,32 days ago,NPB-Rent-Synthetic,True,32,Bhaktapur,Balkot-Biruwa Road,3,flat,1,0,1,0
"1BHK Room Rent in Dhapakhel, Lalitpur, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-52/,6000,"Dhapakhel, Lalitpur-24, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagmati Province, 41700, Nepal",1,1,room,47 days ago,NPB-Rent-Synthetic,True,47,Lalitpur,Lalitpur,1,room,0,0,0,0
"2BHK Flat Rent in Satdobato, Tutepani, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-53/,24500,"Satdobato, Tutepani, Lalitpur-15, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagamati Province, 44702, Nepal",2,2,flat,16 days ago,NPB-Rent-Synthetic,True,16,Lalitpur,Tutepani,2,flat,0,0,0,0
"1BHK Room Rent in Bagdol, Basnetgaun, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-54/,7000,"Bagdol, Basnetgaun, Lalitpur-04, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagamati Province, 40000, Nepal",1,1,room,42 days ago,NPB-Rent-Synthetic,True,42,Lalitpur,Basnetgaun,1,room,1,0,0,0
"2BHK Flat Rent in Lazimpat, Kathmandu, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-55/,30000,"Lazimpat, Kathmandu-02, Kathmandu, Kathmandu Metropolitan City, Kathmandu, Bagmati Province, 14600, Nepal",2,1,flat,32 days ago,NPB-Rent-Synthetic,False,32,Kathmandu,Kathmandu,2,flat,1,0,0,0
"0BHK Commercial Rent in Dhungedhara, Kathmandu, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-56/,34000,"Dhungedhara, Kathmandu-16, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, 20356, Nepal",0,1,commercial,41 days ago,NPB-Rent-Synthetic,True,41,Kathmandu,Kathmandu,0,commercial,0,0,0,1
"1BHK Flat Rent in Ekantakuna, Lalitpur, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-57/,15000,"Ekantakuna, Lalitpur-13, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagamati Province, 40000, Nepal",1,1,flat,32 days ago,NPB-Rent-Synthetic,False,32,Lalitpur,Lalitpur,1,flat,1,0,1,0
"2BHK Flat Rent in Lazimpat, Kathmandu, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-58/,38500,"Lazimpat, Kathmandu-02, Kathmandu, Kathmandu Metropolitan City, Kathmandu, Bagmati Province, 14600, Nepal",2,1,flat,42 days ago,NPB-Rent-Synthetic,False,42,Kathmandu,Kathmandu,2,flat,1,0,0,1
"4BHK Flat Rent in Satdobato, Tutepani, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-59/,53500,"Satdobato, Tutepani, Lalitpur-15, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagamati Province, 44702, Nepal",4,1,flat,2 days ago,NPB-Rent-Synthetic,False,2,Lalitpur,Tutepani,4,flat,0,0,0,0
"3BHK Flat Rent in Banasthali, Kathmandu, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-60/,44000,"Banasthali, Kathmandu-16, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, 20356, Nepal",3,1,flat,36 days ago,NPB-Rent-Synthetic,False,36,Kathmandu,Kathmandu,3,flat,1,0,0,0
"2BHK Flat Rent in kausaltar, Araniko Highway, Bhaktapur",https://nepalpropertybazaar.com/property/synthetic-61/,34500,"kausaltar, Araniko Highway, sachet marga tole, Kaushaltar, Madhyapur Thimi-02, Madhyapur Thimi, Madhyapur Thimi Municipality, Bhaktapur, Bagamati Province, 44810, Nepal",2,1,flat,17 days ago,NPB-Rent-Synthetic,False,17,Bhaktapur,Araniko Highway,2,flat,0,0,0,0
"1BHK Room Rent in Baneshwor Banquet, Saraswati Marg, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-62/,5500,"Baneshwor Banquet, Saraswati Marg, Thapa Gaun, Buddha Nagar, Kathmandu-10, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, 44617, Nepal",1,1,room,28 days ago,NPB-Rent-Synthetic,False,28,Kathmandu,Saraswati Marg,1,room,0,0,0,1
"1BHK Flat Rent in Banasthali, Kathmandu, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-63/,24000,"Banasthali, Kathmandu-16, Kathmandu Metropolitan City, Kathmandu, Bagamati Province, 20356, Nepal",1,1,flat,53 days ago,NPB-Rent-Synthetic,False,53,Kathmandu,Kathmandu,1,flat,0,0,0,0
"4BHK Flat Rent in Buddhanilkantha Bus Stop, Golfutar Main Road, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-64/,62000,"Buddhanilkantha Bus Stop, Golfutar Main Road, Budhanilkantha-03, Budhanilkantha, Budhanilkantha Municipality, Kathmandu, Bagamati Province, 22644, Nepal",4,1,flat,34 days ago,NPB-Rent-Synthetic,False,34,Kathmandu,Golfutar Main Road,4,flat,1,0,1,0
"3BHK Flat Rent in Satdobato, Tutepani, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-65/,37000,"Satdobato, Tutepani, Lalitpur-15, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagamati Province, 44702, Nepal",3,2,flat,23 days ago,NPB-Rent-Synthetic,False,23,Lalitpur,Tutepani,3,flat,0,0,0,0
"1BHK Commercial Rent in Chabahil Futsal, Saraswati Nagar Marga, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-66/,38000,"Chabahil Futsal, Saraswati Nagar Marga, Saraswati Nagar, Baudha, Kathmandu-07, Kathmandu, Kathmandu Metropolitan City, Kathmandu, Bagmati Province, 44602, Nepal",1,1,commercial,16 days ago,NPB-Rent-Synthetic,True,16,Kathmandu,Saraswati Nagar Marga,1,commercial,1,0,0,1
"1BHK Flat Rent in Budhanilkantha, budhalinkantha main road, Kathmandu",https://nepalpropertybazaar.com/property/synthetic-67/,13000,"Budhanilkantha, budhalinkantha main road, Budhanilkantha-03, Budhanilkantha, Budhanilkantha Municipality, Kathmandu, Bagamati Province, 22644, Nepal",1,1,flat,3 days ago,NPB-Rent-Synthetic,False,3,Kathmandu,budhalinkantha main road,1,flat,1,0,0,0
"1BHK Flat Rent in Ekantakuna, Lalitpur, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-68/,20500,"Ekantakuna, Lalitpur-13, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagamati Province, 40000, Nepal",1,1,flat,26 days ago,NPB-Rent-Synthetic,True,26,Lalitpur,Lalitpur,1,flat,0,0,1,0
"1BHK Flat Rent in Patan, Lalitpur, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-69/,14500,"Patan, Lalitpur-16, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagamati Province, 44707, Nepal",1,1,flat,24 days ago,NPB-Rent-Synthetic,False,24,Lalitpur,Lalitpur,1,flat,1,0,0,0
"2BHK Flat Rent in Patan, Lalitpur, Lalitpur",https://nepalpropertybazaar.com/property/synthetic-70/,23500,"Patan, Lalitpur-16, Lalitpur, Lalitpur Metropolitan City, Lalitpur, Bagamati Province, 44707, Nepal",2,1,flat,53 days ago,NPB-Rent-Synthetic,False,53,Lalitpur,Lalitpur,2,flat,0,0,0,1
